Location,WaitTime,MealRating,ServerFriendliness,OrderAccurate,WillReturn
Location A,11.490142459033699,4,8.92704306647543,Yes,Yes
Location A,9.585207096486446,5,8.211554983733846,Yes,Yes
Location A,11.943065614302078,4,8.758909754800586,Yes,Yes
Location A,14.569089569224076,5,9.48553011655626,Yes,Yes
Location A,9.297539875829992,3,5.223589463157098,Yes,Yes
Location A,9.297589129152458,4,9.415195762798051,Yes,Yes
Location A,14.737638446522174,5,8.513641647831912,Yes,Yes
Location A,12.302304187458727,5,6.3325620083919105,Yes,Yes
Location A,8.591576842195144,3,9.203706323479533,Yes,Yes
Location A,11.627680130757895,4,7.4025186409640575,Yes,No
Location A,8.609746921562614,5,7.607050345522171,Yes,Yes
Location A,8.602810739289229,3,7.238480326301507,Yes,Yes
Location A,10.725886814698102,5,8.453598266357337,Yes,No
Location A,4.260159266026607,4,6.82197028623192,Yes,Yes
Location A,4.825246502460901,5,9.35221194492168,Yes,No
Location A,8.313137412277083,5,7.791706119207992,Yes,Yes
Location A,6.961506638996728,5,7.4536962747680935,Yes,Yes
Location A,10.942741997785822,5,9.129313516420956,No,Yes
Location A,7.275927773436367,3,7.520664856521379,Yes,Yes
Location A,5.763088895994126,3,9.422265238043451,Yes,Yes
Location A,14.396946306764661,4,9.469389426261298,Yes,Yes
Location A,9.322671098540393,3,5.997794242671534,Yes,Yes
Location A,10.202584614063772,3,9.663890303334385,Yes,Yes
Location A,5.725755441359629,4,5.806946042747171,Yes,Yes
Location A,8.366851826424451,3,9.757370790323765,Yes,Yes
Location A,10.332767769129598,3,10.0,Yes,No
Location A,6.547019267733091,4,9.312251657403698,No,Yes
Location A,11.127094055037016,4,4.76452903295049,Yes,Yes
Location A,8.198083930243586,4,9.595348579079028,Yes,Yes
Location A,9.12491875062017,5,10.0,Yes,Yes
Location A,8.19488016331181,5,7.545452538502956,Yes,Yes
Location A,15.556834553526812,4,7.9479450199551644,Yes,Yes
Location A,9.959508325786198,4,6.217269917110352,Yes,Yes
Location A,6.826867213132299,4,8.468119128229503,Yes,Yes
Location A,12.467634736309567,5,9.903765773814694,Yes,Yes
Location A,6.337469050086933,5,9.046605692224182,Yes,Yes
Location A,10.626590785014265,3,10.0,Yes,Yes
Location A,4.1209896283606735,3,8.049540564448696,Yes,Yes
Location A,6.015441853304709,4,5.553989948877104,Yes,Yes
Location A,10.59058370760737,5,8.256456457352328,Yes,Yes
Location A,12.215399739986232,5,4.375322352181265,Yes,Yes
Location A,10.514104843569912,5,7.200344112703229,No,Yes
Location A,9.653055152835279,4,10.0,Yes,Yes
Location A,9.096688913232134,3,8.487700472947656,No,Yes
Location A,5.564434028897718,4,8.269125219246904,Yes,Yes
Location A,7.840467374815875,3,10.0,Yes,Yes
Location A,8.618083687120638,3,7.594100162504945,Yes,Yes
Location A,13.171366678656748,4,9.892730619401163,Yes,Yes
Location A,11.030854868705385,3,8.19396046274951,Yes,Yes
Location A,4.710879533911799,3,8.57007119518854,Yes,Yes
Location A,10.972251908184385,5,6.174042716205481,Yes,Yes
Location A,8.84475315875105,3,7.276929807757675,Yes,Yes
Location A,7.969233999082124,4,5.90372265073419,Yes,Yes
Location A,11.835028866522604,4,7.857132382661982,Yes,Yes
Location A,13.092998567487854,3,8.5856035158744,Yes,Yes
Location A,12.793840357348596,5,6.334942842362822,Yes,Yes
Location A,7.4823474303320845,5,10.0,Yes,Yes
Location A,9.072362872446357,3,8.417159028637942,Yes,Yes
Location A,10.993790294210692,3,8.086693378377829,Yes,Yes
Location A,12.926635381367078,4,9.154486627018438,Yes,Yes
Location A,8.56247728646413,3,6.756607878701117,Yes,Yes
Location A,9.443023070008548,5,8.24521621875118,Yes,Yes
Location A,6.680995077981915,3,6.924700669463613,Yes,Yes
Location A,6.411380127757988,4,10.0,Yes,Yes
Location A,12.437577467182594,4,6.412040975904378,Yes,Yes
Location A,14.068720085712469,4,8.09474818896076,Yes,Yes
Location A,9.783969635258998,4,8.493973677727663,Yes,Yes
Location A,13.010598693676073,4,8.592238616611553,Yes,Yes
Location A,11.084908075142902,3,7.1281472403757515,Yes,Yes
Location A,8.064640736184627,3,6.656735896782354,Yes,Yes
Location A,11.084186816525241,3,7.149807240430851,Yes,Yes
Location A,14.614109699397908,3,8.792488151315423,Yes,Yes
Location A,9.892521882670145,4,7.7842313436320545,Yes,No
Location A,14.693930967442018,5,9.194313212678782,Yes,Yes
Location A,2.1407646877307673,3,8.71550557909261,Yes,Yes
Location A,12.465707513125672,5,4.584630952850588,Yes,Yes
Location A,10.261141204714514,3,8.371246695255817,Yes,Yes
Location A,9.102977948602398,3,10.0,Yes,Yes
Location A,10.275282329606506,5,9.987903576557496,Yes,Yes
Location A,4.037293256197321,4,8.633019741060453,Yes,Yes
Location A,9.340984336487464,3,6.410911804295084,Yes,Yes
Location A,11.07133771453524,3,8.716330574188468,Yes,Yes
Location A,14.433682134224547,3,9.109624909817388,Yes,Yes
Location A,8.445189345179058,5,7.619379978758624,Yes,Yes
Location A,7.574519191320437,4,8.475113088206657,Yes,Yes
Location A,8.49472886924639,5,10.0,Yes,Yes
Location A,12.746206353106222,5,6.714088370387412,Yes,Yes
Location A,10.986253328979053,4,6.41255059256131,Yes,Yes
Location A,8.410719388698883,5,9.039048988991318,Yes,Yes
Location A,11.539802299340067,4,8.68631395429712,Yes,No
Location A,10.29123264804412,3,9.543257443119217,Yes,Yes
Location A,12.905934971598668,4,8.854690717855654,Yes,Yes
Location A,7.893840718367943,3,7.14836740523871,Yes,Yes
Location A,9.017013560206696,5,8.648288977198106,Yes,Yes
Location A,8.823675540603528,5,6.28681018505574,Yes,Yes
Location A,5.609455155603644,3,7.624521932400509,Yes,Yes
Location A,10.888360831193728,5,8.754198846449606,Yes,Yes
Location A,10.783165816539668,4,7.459228674914165,Yes,Yes
Location A,10.015340369927383,3,10.0,Yes,Yes
Location A,9.29623859987456,5,5.1617236267645,Yes,Yes
Location A,5.753887773848757,3,7.178764464501784,Yes,Yes
Location A,8.738064031703923,4,6.593330249195135,Yes,Yes
Location A,8.971856450419692,4,6.94947678881307,Yes,Yes
Location A,7.593168192335144,5,7.035502664778682,Yes,Yes
Location A,9.516142865001973,4,6.010368969711511,Yes,Yes
Location A,11.212152570443616,3,9.129053222858941,Yes,Yes
Location A,15.65855770363159,4,7.179357053919348,Yes,Yes
Location A,10.523733438495517,3,8.245360003382983,Yes,Yes
Location A,10.772651172168294,3,7.347761357134632,Yes,Yes
Location A,9.776662252701499,4,6.963679381570685,Yes,Yes
Location A,4.243686354102875,5,10.0,Yes,Yes
Location A,9.92045837365235,4,9.384398273314112,Yes,Yes
Location A,10.18069062982308,3,5.1976994000672825,Yes,Yes
Location A,17.38972633745586,3,5.038793827496169,Yes,No
Location A,9.422917105656632,4,9.56391325345473,Yes,Yes
Location A,10.904642027000838,5,7.220219912676869,Yes,No
Location A,9.89586469088427,5,5.5263764990986655,Yes,No
Location A,6.493965887141404,3,9.568602698810512,Yes,Yes
Location A,13.42846844354506,3,8.253686075148636,Yes,Yes
Location A,12.255799098060322,5,8.37735662724848,Yes,Yes
Location A,12.37309584112914,4,9.214308908008862,Yes,Yes
Location A,7.271837635615784,3,6.03503426257641,Yes,Yes
Location A,14.208382932808298,3,5.552748767923753,Yes,Yes
Location A,5.794446811623157,5,10.0,Yes,Yes
Location A,11.76057128140081,4,5.8442498588865615,Yes,No
Location A,16.571366877429938,5,6.166643304386654,Yes,Yes
Location A,7.028391024607934,4,6.46634693068135,Yes,Yes
Location A,8.301106811191683,4,10.0,Yes,Yes
Location A,10.298954095262923,4,8.740074950617284,Yes,Yes
Location A,8.489573037651402,3,9.44811196165307,Yes,Yes
Location A,5.3480097068016015,5,8.294251318368092,Yes,Yes
Location A,10.205688924418082,5,7.097169183198149,Yes,Yes
Location A,6.813088858821685,4,8.946936924890252,Yes,Yes
Location A,11.420777291905544,3,5.665076043804795,Yes,No
Location A,7.24172729729859,3,6.3570748218552575,Yes,Yes
Location A,14.649803215052618,5,9.099462768892222,Yes,Yes
Location A,7.650240122991288,3,5.96411715375983,Yes,Yes
Location A,9.033815451382972,3,7.71637779625719,Yes,Yes
Location A,12.44055165210901,4,7.784731483466882,Yes,Yes
Location A,6.307407050698134,3,7.2070069949942575,Yes,No
Location A,10.682379803812388,4,5.073322287726715,Yes,Yes
Location A,13.921428262847284,5,7.056606663216961,Yes,Yes
Location A,5.177550296316317,3,6.762547434601272,Yes,Yes
Location A,10.553901575596912,5,8.242159794931547,Yes,Yes
Location A,10.77964838274527,5,8.165735808049202,Yes,Yes
Location A,12.345468615331932,3,8.566942189905312,Yes,Yes
Location A,6.289147867365754,3,6.986020590538404,Yes,Yes
Location A,6.0386301607471715,5,8.784166925698838,Yes,Yes
Location A,11.565824696850694,3,5.665989900839476,Yes,Yes
Location A,10.890954019699558,4,5.267142901021469,Yes,Yes
Location A,10.75147855103763,4,4.496640913750058,Yes,Yes
Location A,11.039344628490927,3,7.251054140642004,Yes,Yes
Location A,7.959925835264528,5,6.870052663492164,Yes,Yes
Location A,10.69676109148301,3,9.1839734177819,Yes,Yes
Location A,10.879217419896044,3,7.027006119426695,Yes,Yes
Location A,7.856945745920896,5,8.4100645219164,Yes,Yes
Location A,15.59732353343427,5,9.219944864874616,No,Yes
Location A,11.421498762735363,4,6.970521386526326,Yes,Yes
Location A,6.426089508392054,5,8.447078315160763,Yes,Yes
Location A,11.969660825901489,4,9.502891323432792,Yes,Yes
Location A,7.075954989318036,5,6.142755837791649,Yes,No
Location A,12.361253811227357,3,8.037278507366967,Yes,Yes
Location A,13.475786737022212,4,6.976948425201028,Yes,No
Location A,7.537953044944869,4,6.238265176260292,Yes,Yes
Location A,12.890128387732965,4,5.695322389264657,Yes,Yes
Location A,11.238342780809495,3,6.214027141731949,Yes,Yes
Location A,12.46618047998347,3,8.090043508628018,Yes,Yes
Location A,15.690378947961843,3,5.58373331665738,Yes,No
Location A,9.26383565199139,3,7.173909463867044,Yes,Yes
Location A,7.738791506927531,3,9.219791610279346,Yes,Yes
Location A,7.33145671112343,4,8.673516445128405,Yes,Yes
Location A,7.552569145103686,3,7.204238565592765,Yes,No
Location A,9.768694871757688,4,10.0,Yes,Yes
Location A,11.023455924449932,3,10.0,Yes,Yes
Location A,10.830072397990056,5,8.039183647309589,Yes,Yes
Location A,12.481549747108073,4,4.297185626173538,Yes,Yes
Location A,10.039005675633721,5,9.32967229552439,Yes,Yes
Location A,14.360602231471951,4,4.559035489949622,Yes,Yes
Location A,9.206029500286132,5,10.0,Yes,Yes
Location A,18.160507499768855,3,9.625377351113448,Yes,Yes
Location A,11.877002043295018,3,10.0,Yes,Yes
Location A,7.428527330751153,3,8.39039833755159,Yes,No
Location A,6.787322505816663,4,7.457921349227243,No,Yes
Location A,11.447417245729556,5,7.324848299464664,Yes,Yes
Location A,9.329611644022448,3,7.180609743453655,Yes,Yes
Location A,12.142001482276276,5,9.471602980512055,Yes,Yes
Location A,11.419712873720634,5,9.068407234258817,Yes,Yes
Location A,9.781513262029382,3,8.18033845015132,Yes,Yes
Location A,7.459618845794785,3,6.916728038109541,Yes,Yes
Location A,5.455458325942406,5,10.0,Yes,No
Location A,8.660455143798936,3,9.368561920944305,Yes,Yes
Location A,12.569196382970418,3,5.603432120339887,Yes,No
Location A,10.642281232390612,3,7.22561597609431,Yes,Yes
Location A,6.262783663864036,4,9.397664146113058,Yes,Yes
Location A,10.519542777553546,5,6.8006916181509744,Yes,Yes
Location A,11.15595213918651,5,8.527321938238833,Yes,Yes
Location A,7.348427691396601,4,9.426194450504223,Yes,Yes
Location A,10.461175317836584,5,2.9173578760154104,Yes,Yes
Location A,10.174626155338,3,7.837943450316124,Yes,Yes
Location A,6.571089106508131,5,7.896813730347683,Yes,Yes
Location B,16.43114944139313,2,5.175855088632421,Yes,Yes
Location B,17.243138105472937,3,6.603390269892082,Yes,Yes
Location B,19.332204972701106,2,7.315039214991749,Yes,Yes
Location B,19.21520820813961,4,6.284101888649218,No,No
Location B,9.489322528171636,4,5.252345211901136,Yes,Yes
Location B,11.248699840339508,4,7.2652425995685395,Yes,Yes
